========================================================
   Date (UTC) Time     t1[s] 	t2[s] 	t3[s] 	t4[s]	offset
========================================================
2018-10-09 11:13:42,1539083622.286089986,1539115734.742706352,1539115734.742762813,1539083622.308480713, 3.211e+04
2018-10-09 11:13:44,1539083624.334695996,1539115736.782731331,1539115736.782777923,1539083624.351399728, 3.211e+04
2018-10-09 11:13:46,1539083626.354584619,1539115738.802322830,1539115738.802368285,1539083626.371327799, 3.211e+04
2018-10-09 11:13:48,1539083628.409372559,1539115740.856171474,1539115740.856230917,1539083628.424597707, 3.211e+04
2018-10-09 11:14:53,1539083693.165019323,1539115805.582406905,1539115805.582453619,1539083693.185338834, 3.211e+04
2018-10-09 11:15:57,1539083757.896976424,1539115870.308837393,1539115870.308884571,1539083757.912100176, 3.211e+04
2018-10-09 20:12:14,1539115934.971793693,1539115934.978647453,1539115934.978693000,1539115934.987256024,-8.546e-04
2018-10-09 20:13:19,1539115999.619316367,1539115999.626556785,1539115999.626600353,1539115999.636994310,-1.577e-03
2018-10-09 20:14:24,1539116064.425418228,1539116064.436114455,1539116064.436164764,1539116064.440894733, 2.983e-03
2018-10-09 20:15:28,1539116128.766344301,1539116128.778647566,1539116128.778694543,1539116128.783633589, 3.682e-03
2018-10-09 20:16:33,1539116193.139241566,1539116193.147738255,1539116193.147785018,1539116193.154162084, 1.060e-03
2018-10-09 20:17:38,1539116258.383630798,1539116258.388966834,1539116258.389015363,1539116258.399175049,-2.412e-03
2018-10-09 20:18:43,1539116323.004273826,1539116323.010286060,1539116323.010323424,1539116323.016748599,-2.065e-04
2018-10-09 20:19:47,1539116387.632452004,1539116387.638307006,1539116387.638354332,1539116387.644757554,-2.741e-04
2018-10-09 20:20:51,1539116451.956364423,1539116451.972196810,1539116451.972258646,1539116451.978401731, 4.845e-03
2018-10-09 20:21:56,1539116516.336106210,1539116516.342699789,1539116516.342745514,1539116516.349715663,-1.883e-04
2018-10-09 20:23:01,1539116581.350575242,1539116581.358503342,1539116581.358550426,1539116581.380951060,-7.236e-03
2018-10-09 20:24:06,1539116646.677445883,1539116646.689046089,1539116646.689097081,1539116646.695606872, 2.545e-03
2018-10-09 20:25:10,1539116710.798333230,1539116710.808245063,1539116710.808292950,1539116710.817757864, 2.235e-04
2018-10-09 20:27:20,1539116840.789400927,1539116840.794969863,1539116840.795015686,1539116840.805428449,-2.422e-03
2018-10-09 20:29:31,1539116971.088140523,1539116971.094296072,1539116971.094343770,1539116971.102487212,-9.939e-04
2018-10-09 20:31:40,1539117100.838254009,1539117100.850002309,1539117100.850050142,1539117100.857569882, 2.114e-03
2018-10-09 20:33:50,1539117230.020020276,1539117230.027881947,1539117230.027957512,1539117230.036413044,-2.969e-04
2018-10-09 20:36:00,1539117360.324051138,1539117360.328017466,1539117360.328066765,1539117360.336855386,-2.411e-03
2018-10-09 20:40:20,1539117620.259687101,1539117620.266720058,1539117620.266768694,1539117620.275267571,-7.330e-04
2018-10-09 20:44:40,1539117880.640597183,1539117880.644730402,1539117880.644780538,1539117880.652770798,-1.929e-03
2018-10-09 20:48:57,1539118137.217629476,1539118137.224957317,1539118137.225004627,1539118137.232420461,-4.400e-05
2018-10-09 20:53:17,1539118397.194492010,1539118397.198735118,1539118397.198782464,1539118397.206474006,-1.724e-03
2018-10-09 21:01:51,1539118911.528316869,1539118911.533842342,1539118911.533894659,1539118911.545566425,-3.073e-03
2018-10-09 21:10:27,1539119427.162067693,1539119427.167574463,1539119427.167634218,1539119427.180341508,-3.600e-03
2018-10-09 21:19:06,1539119946.934387494,1539119946.940478356,1539119946.940527138,1539119946.950972517,-2.177e-03
2018-10-09 21:36:22,1539120982.789346493,1539120982.795448161,1539120982.795496688,1539120982.804619701,-1.511e-03
========================================================
   Date (UTC) Time     t1[s] 	t2[s] 	t3[s] 	t4[s]	offset
========================================================
2018-10-09 21:53:34,1539122014.354293419,1539122014.361150356,1539122014.361201753,1539122014.372966174,-2.454e-03
2018-10-09 22:10:44,1539123044.430979397,1539123044.438850703,1539123044.438900463,1539123044.445713643, 5.291e-04
2018-10-09 22:28:07,1539124087.561903269,1539124087.570599455,1539124087.570651196,1539124087.579532646,-9.263e-05
2018-10-09 22:45:31,1539125131.207268712,1539125131.213058282,1539125131.213109219,1539125131.225081837,-3.092e-03
2018-10-09 23:02:51,1539126171.656705657,1539126171.665043037,1539126171.665094310,1539126171.673823370,-1.958e-04
2018-10-09 23:20:04,1539127204.368741005,1539127204.385373699,1539127204.385417106,1539127204.395264989, 3.392e-03
2018-10-09 23:37:11,1539128231.781644730,1539128231.791456427,1539128231.791506624,1539128231.800973829, 1.722e-04
2018-10-09 23:54:28,1539129268.258454765,1539129268.267036046,1539129268.267086271,1539129268.278580473,-1.456e-03
2018-10-10 00:11:44,1539130304.803858101,1539130304.812248395,1539130304.812298424,1539130304.819881083, 4.038e-04
2018-10-10 00:29:03,1539131343.341864884,1539131343.350020391,1539131343.350070640,1539131343.357712296, 2.569e-04
2018-10-10 00:46:25,1539132385.923263246,1539132385.931805802,1539132385.931854937,1539132385.939798881, 2.993e-04
2018-10-10 01:03:33,1539133413.183672013,1539133413.202482811,1539133413.202532551,1539133413.209786104, 5.779e-03
2018-10-10 01:20:38,1539134438.834705028,1539134438.843439947,1539134438.843495959,1539134438.859682516,-3.726e-03
2018-10-10 01:37:57,1539135477.837376804,1539135477.846231604,1539135477.846282372,1539135477.853720722, 7.082e-04
2018-10-10 01:55:03,1539136503.759060121,1539136503.766855178,1539136503.766912309,1539136503.775614453,-4.535e-04
